complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1891082286339994}",1647.038,798.818,0.0,848,inf,inf,0.0,2,0.2857142857142857,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.2820370931819321}",2142.231,1299.282,0.0,843,inf,inf,0.0,0,0.3333333333333333,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.361818370812516}",2909.632,2074.067,0.0,836,inf,inf,0.0,1682,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=5, n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4361867607515913}",4021.828,3186.723,0.0,835,inf,inf,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=4, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5084641360261961}",5545.608,4710.426,0.0,835,inf,inf,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=10, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5808631446945912}",7111.756,6273.149,0.0,839,inf,inf,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.656544893453834}",10013.557,9182.215,0.001,831,inf,inf,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=2, n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7403737576223238}",12561.316,11727.021,0.0,834,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8448858721534457}",17144.478,16306.372,0.0,838,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
