complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'alpha', 'precision': 'fast'}",1530.352,2.53,0.0,1528,13.41,1.52,0.0,12,0.5238095238095238,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'alpha', 'precision': 'safe'}",1522.215,2.294,0.0,1520,4.359,0.0,0.0,4,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=2, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'alpha', 'precision': 'exact'}",1523.878,8.61,0.0,1515,0.07,0.0,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=2, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
