complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.19333228302043426}",955.155,95.727,0.0,859,inf,inf,0.0,2,0.38095238095238093,"{'Estimator': RandomForestClassifier(n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28839402281026993}",1321.127,461.825,0.0,859,inf,inf,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(min_samples_leaf=4), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.37001200136653795}",1995.277,1138.3,0.0,857,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=10), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.44609428748080954}",3027.101,2168.124,0.0,859,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=10), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.519768258161447}",4572.085,3712.719,0.0,859,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5938581722564833}",6465.836,5605.682,0.0,860,inf,inf,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=2, min_samples_split=10,
                       n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6712344164284293}",9077.914,8218.98,0.0,859,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7567567877873363}",12063.922,11213.172,0.0,851,inf,inf,0.0,1,0.6190476190476191,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8635274825610567}",17421.178,16564.252,0.0,857,inf,inf,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
