complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.19333228302043426, 'nb_iterations': 2}",860.253,12.857,0.0,847,2008.484,2006.441,0.0,2,0.38095238095238093,"{'Estimator': RandomForestClassifier(n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.19333228302043426, 'nb_iterations': 3}",863.567,12.055,0.0,852,435.156,435.148,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=10,
                       n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28839402281026993, 'nb_iterations': 2}",881.71,38.08,0.0,844,6608.902,6608.902,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28839402281026993, 'nb_iterations': 3}",878.971,34.75,0.0,844,1081.973,1081.973,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=4, min_samples_split=10,
                       n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.37001200136653795, 'nb_iterations': 2}",918.737,75.443,0.0,843,11347.656,11347.656,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=2, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.37001200136653795, 'nb_iterations': 3}",922.653,78.809,0.0,844,17419.137,17419.137,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=2, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.44609428748080954, 'nb_iterations': 2}",979.184,135.038,0.0,844,33237.219,33237.219,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=4, min_samples_split=10), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.44609428748080954, 'nb_iterations': 3}",980.773,137.349,0.0,843,35054.512,35054.512,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=4, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.519768258161447, 'nb_iterations': 2}",1052.714,207.722,0.0,845,56132.645,56132.645,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.519768258161447, 'nb_iterations': 3}",1053.956,209.463,0.0,844,56150.047,56150.047,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=10), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5938581722564833, 'nb_iterations': 2}",1135.097,293.966,0.0,841,83077.016,83077.016,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=4, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5938581722564833, 'nb_iterations': 3}",1131.435,292.858,0.0,839,83057.492,83057.492,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
