complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.18570161440622562, 'nb_iterations': 2}",944.285,45.08,0.0,899,9613.754,9611.691,0.0,2,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.18570161440622562, 'nb_iterations': 3}",898.959,48.565,0.0,850,8711.59,8711.586,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=200), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.2770812283606116, 'nb_iterations': 2}",960.314,66.634,0.0,894,9565.496,9565.488,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.2770812283606116, 'nb_iterations': 3}",935.718,69.42,0.0,866,9664.074,9664.074,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.35592316462578855, 'nb_iterations': 2}",948.414,110.214,0.0,838,24282.863,24258.68,0.0,24,0.5714285714285714,"{'Estimator': RandomForestClassifier(min_samples_leaf=2), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.35592316462578855, 'nb_iterations': 3}",969.423,109.01,0.0,860,24104.117,24103.898,0.0,0,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.42964972009023683, 'nb_iterations': 2}",1024.066,156.514,0.0,868,38289.074,38289.074,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.42964972009023683, 'nb_iterations': 3}",989.167,158.336,0.0,831,38172.445,38172.207,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=2, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5014849436236509, 'nb_iterations': 2}",1051.579,221.742,0.0,830,57208.25,57208.25,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5014849436236509, 'nb_iterations': 3}",1064.566,224.581,0.0,840,57143.152,57143.152,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5735179650082842, 'nb_iterations': 2}",1142.665,301.896,0.0,841,81366.668,81366.668,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=10, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5735179650082842, 'nb_iterations': 3}",1131.447,300.536,0.0,831,81317.309,81317.309,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6485071202842542, 'nb_iterations': 2}",1236.928,392.952,0.0,844,111613.461,111613.461,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6485071202842542, 'nb_iterations': 3}",1220.374,390.756,0.0,830,111535.93,111535.93,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=4, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7316539777180211, 'nb_iterations': 2}",1341.635,498.413,0.0,843,149649.023,149649.023,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7316539777180211, 'nb_iterations': 3}",1324.688,495.786,0.0,829,149573.043,149573.043,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8362014776648624, 'nb_iterations': 2}",1457.967,617.259,0.0,841,198953.895,198953.895,0.0,0,0.6666666666666666,"{'Estimator': RandomForestClassifier(min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8362014776648624, 'nb_iterations': 3}",1457.29,615.772,0.0,842,198867.637,198867.637,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
