complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1899224698132783}",1354.073,515.454,0.0,839,inf,inf,0.0,2,0.3333333333333333,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28277099395114796}",1793.627,955.274,0.0,838,inf,inf,0.0,0,0.7142857142857143,"{'Estimator': RandomForestClassifier(), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36238508739511566}",2592.378,1758.003,0.0,834,inf,inf,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=4, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4363074934938003}",3753.498,2923.597,0.0,830,inf,inf,0.0,0,0.3333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=4), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5082625194342495}",5455.381,4621.202,0.0,834,inf,inf,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5808275284131965}",7179.97,6352.938,0.0,827,inf,inf,0.0,1,0.3333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5,
                       n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.656895023373421}",10286.573,9459.702,0.0,827,inf,inf,0.0,0,0.38095238095238093,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7413598233320737}",13078.006,12252.209,0.0,826,inf,inf,0.0,1,0.5238095238095238,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8471340786201846}",16988.055,16160.408,0.0,828,inf,inf,0.0,0,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=10, n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
