complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'alpha', 'precision': 'fast'}",1131.558,2.435,0.0,1129,11.402,1.473,0.0,10,0.047619047619047616,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'alpha', 'precision': 'safe'}",1527.48,2.409,0.0,1525,2.039,0.0,0.0,2,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'alpha', 'precision': 'exact'}",1537.387,8.572,0.0,1529,2.895,0.0,0.0,3,0.6190476190476191,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
