complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.18570161440622562}",1700.767,809.689,0.0,891,inf,inf,0.0,2,0.42857142857142855,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.2770812283606116}",2216.549,1327.975,0.0,889,inf,inf,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(max_depth=10), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.35592316462578855}",3206.084,2314.892,0.0,891,inf,inf,0.0,329,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=4, min_samples_split=10,
                       n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.42964972009023683}",4477.655,3634.068,0.0,844,inf,inf,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=2, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5014849436236509}",6107.065,5215.944,0.0,891,inf,inf,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5735179650082842}",8223.067,7333.39,0.0,890,inf,inf,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.6485071202842542}",11646.228,10806.183,0.0,840,inf,inf,0.0,1,0.5238095238095238,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.7316539777180211}",15794.165,14954.651,0.0,840,inf,inf,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(min_samples_split=5, n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'rips', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.8362014776648624}",17993.646,17151.378,0.0,842,inf,inf,0.0,3,0.42857142857142855,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
