complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.18644079994983107, 'nb_iterations': 2}",883.253,37.414,0.0,846,10157.656,10155.582,0.0,2,0.3333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=5,
                       n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.18644079994983107, 'nb_iterations': 3}",874.668,34.927,0.0,840,9070.219,9070.215,0.0,0,0.47619047619047616,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=5), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.278638793225462, 'nb_iterations': 2}",891.817,59.847,0.0,832,15282.734,15282.648,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.278638793225462, 'nb_iterations': 3}",890.725,60.522,0.0,830,15269.039,15269.039,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=2, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[6, 6]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [6, 6]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.35803148089247483, 'nb_iterations': 2}",923.757,95.5,0.0,828,24737.168,24737.164,0.0,0,0.5714285714285714,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, n_estimators=200), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.35803148089247483, 'nb_iterations': 3}",924.289,95.649,0.0,829,24812.172,24812.156,0.0,0,0.7619047619047619,"{'Estimator': RandomForestClassifier(max_depth=10, n_estimators=200), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 200, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4319682489903161, 'nb_iterations': 2}",973.346,144.232,0.0,829,38647.746,38647.746,0.0,0,0.42857142857142855,"{'Estimator': RandomForestClassifier(n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4319682489903161, 'nb_iterations': 3}",972.072,144.357,0.0,828,38552.605,38552.605,0.0,0,0.3333333333333333,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=10), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5036199990392618, 'nb_iterations': 2}",1035.554,206.759,0.0,829,57096.766,57096.766,0.0,0,0.6190476190476191,"{'Estimator': RandomForestClassifier(max_depth=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5036199990392618, 'nb_iterations': 3}",1034.109,207.007,0.0,827,57096.082,57096.078,0.0,0,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_leaf=4, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
