complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'alpha', 'precision': 'fast'}",1514.306,2.39,0.0,1512,22.375,1.457,0.0,21,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=300), 'TDA__resolution': 300}"
"{'complex_type': 'alpha', 'precision': 'safe'}",1460.717,2.114,0.0,1459,1.438,0.0,0.0,1,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=300), 'TDA__resolution': 300}"
"{'complex_type': 'alpha', 'precision': 'exact'}",1463.236,8.047,0.0,1455,0.688,0.0,0.0,1,0.9333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=4, min_samples_split=5, n_estimators=50), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=300), 'TDA__resolution': 300}"
