complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'alpha', 'precision': 'fast'}",1442.46,2.454,0.0,1440,33.219,1.488,0.0,32,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'alpha', 'precision': 'safe'}",1542.368,2.203,0.0,1540,1.133,0.0,0.0,1,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
"{'complex_type': 'alpha', 'precision': 'exact'}",1485.145,7.886,0.0,1477,1.055,0.504,0.0,1,0.6666666666666666,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_split=10, n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=500), 'TDA__resolution': 500}"
