complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'alpha', 'precision': 'fast'}",1928.04,2.536,0.0,1926,20.004,1.434,0.0,19,0.7333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=10), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=400), 'TDA__resolution': 400}"
"{'complex_type': 'alpha', 'precision': 'safe'}",1902.315,2.669,0.001,1900,0.129,0.0,0.0,0,0.7333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=10), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=400), 'TDA__resolution': 400}"
"{'complex_type': 'alpha', 'precision': 'exact'}",1886.667,10.328,0.0,1876,0.547,0.0,0.0,1,0.7333333333333333,"{'Estimator': RandomForestClassifier(min_samples_leaf=2, min_samples_split=10), 'Estimator__max_depth': None, 'Estimator__min_samples_leaf': 2, 'Estimator__min_samples_split': 10, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(resolution=400), 'TDA__resolution': 400}"
