complex_parameters,elapsed_time,time for diagram computation,time for pipeline creation,time for pipeline fitting and testing,elapsed_memory,memory for diagram computation,memory for pipeline creation,memory for pipeline fitting and testing,test_accuracy,best parameters for the complex
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1889823206396259, 'nb_iterations': 2}",1065.944,31.508,0.0,1034,7238.176,7231.598,0.0,7,0.6,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.1889823206396259, 'nb_iterations': 3}",1052.665,29.696,0.0,1023,5317.848,5317.848,0.0,0,0.6,"{'Estimator': RandomForestClassifier(max_depth=5, n_estimators=50), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 2, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': PersistenceImage(bandwidth=0.1, resolution=[5, 5]), 'TDA__bandwidth': 0.1, 'TDA__resolution': [5, 5]}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28267472493896567, 'nb_iterations': 2}",1093.628,68.343,0.0,1025,13605.922,13605.922,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=4, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.28267472493896567, 'nb_iterations': 3}",1090.396,66.167,0.0,1024,13598.293,13598.293,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=10, min_samples_leaf=4, min_samples_split=5,
                       n_estimators=50), 'Estimator__max_depth': 10, 'Estimator__min_samples_leaf': 4, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 50, 'Scaler__use': True, 'TDA': Landscape(resolution=200), 'TDA__resolution': 200}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36284087522566594, 'nb_iterations': 2}",1164.293,141.328,0.0,1023,27960.988,27960.941,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.36284087522566594, 'nb_iterations': 3}",1155.123,139.499,0.0,1016,27967.285,27967.285,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4380223900535559, 'nb_iterations': 2}",1234.802,219.104,0.0,1016,48795.812,48795.812,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.4380223900535559, 'nb_iterations': 3}",1248.082,224.197,0.0,1024,48763.469,48763.469,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5109890117861482, 'nb_iterations': 2}",1335.289,328.574,0.0,1007,76713.848,76713.848,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
"{'complex_type': 'edge', 'max_dimension': 2, 'sparse': None, 'max_edge_length': 0.5109890117861482, 'nb_iterations': 3}",1346.741,351.46,0.0,995,76708.547,76708.547,0.0,0,0.8,"{'Estimator': RandomForestClassifier(max_depth=5, min_samples_split=5), 'Estimator__max_depth': 5, 'Estimator__min_samples_leaf': 1, 'Estimator__min_samples_split': 5, 'Estimator__n_estimators': 100, 'Scaler__use': True, 'TDA': Landscape(), 'TDA__resolution': 100}"
